Date,Entity,Account Type,Account Group,Local Currency Balance,FX Rate,EUR Balance
2020-02-01,SummonStorm BR,Asset,PPE,91327.73,0.9591,87592.43
2020-02-01,SummonStorm BR,Liability,Accounts Payable,75312.74,0.9247,69641.69
2020-02-01,SummonStorm BR,Liability,Deferred Revenue,133551.86,0.9464,126393.48
2020-02-01,SummonStorm BR,Liability,Accrued Expenses,102446.96,0.9365,95941.58
2020-02-01,SummonStorm BR,Equity,Retained Earnings,141042.26,1.1139,157106.97
2020-02-01,SummonStorm BR,Equity,Share Capital,128555.99,0.8676,111535.18
2020-03-01,Tapstorm SG,Asset,Cash,109961.47,0.85,93467.25
2020-03-01,Tapstorm SG,Asset,Accounts Receivable,148680.24,0.8576,127508.17
2020-03-01,Tapstorm SG,Asset,Prepaid Expenses,95439.58,1.2114,115615.51
2020-03-01,Tapstorm SG,Asset,PPE,67093.28,1.026,68837.71
2020-03-01,Tapstorm SG,Liability,Accounts Payable,157537.79,1.1201,176458.08
2020-03-01,Tapstorm SG,Liability,Deferred Revenue,92890.99,0.8565,79561.13
2020-03-01,Tapstorm SG,Liability,Accrued Expenses,105204.25,0.8172,85972.91
2020-03-01,Tapstorm SG,Equity,Retained Earnings,83125.16,1.0273,85394.48
2020-03-01,Tapstorm SG,Equity,Share Capital,103021.63,1.1958,123193.27
2020-03-01,TapForge CN,Asset,Cash,109593.63,0.8722,95587.56
2020-03-01,TapForge CN,Asset,Accounts Receivable,66638.37,1.0399,69297.24
2020-03-01,TapForge CN,Asset,Prepaid Expenses,67293.11,1.1371,76519.0
2020-03-01,TapForge CN,Asset,PPE,73507.69,1.0054,73904.63
2020-03-01,TapForge CN,Liability,Accounts Payable,96177.1,1.1793,113421.65
2020-03-01,TapForge CN,Liability,Deferred Revenue,112995.51,0.9488,107210.14
2020-03-01,TapForge CN,Liability,Accrued Expenses,138884.74,0.9826,136468.15
2020-03-01,TapForge CN,Equity,Retained Earnings,173504.98,0.8024,139220.4
2020-03-01,TapForge CN,Equity,Share Capital,105385.52,1.1247,118527.09
2020-03-01,WhaleCare PH,Asset,Cash,86465.36,1.0477,90589.76
2020-03-01,WhaleCare PH,Asset,Accounts Receivable,28593.75,1.0575,30237.89
2020-03-01,WhaleCare PH,Asset,Prepaid Expenses,107768.7,1.1576,124753.05
2020-03-01,WhaleCare PH,Asset,PPE,94891.14,0.8188,77696.87
2020-03-01,WhaleCare PH,Liability,Accounts Payable,89288.36,1.0968,97931.47
2020-03-01,WhaleCare PH,Liability,Deferred Revenue,80286.21,0.8883,71318.24
2020-03-01,WhaleCare PH,Liability,Accrued Expenses,81225.37,0.9018,73249.04
2020-03-01,WhaleCare PH,Equity,Retained Earnings,109858.92,0.8419,92490.22
2020-03-01,WhaleCare PH,Equity,Share Capital,119265.01,0.9867,117678.79
2020-03-01,SummonStorm BR,Asset,Cash,99211.99,1.1922,118280.53
2020-03-01,SummonStorm BR,Asset,Accounts Receivable,123609.18,1.0539,130271.71
2020-03-01,SummonStorm BR,Asset,Prepaid Expenses,138606.44,0.9115,126339.77
2020-03-01,SummonStorm BR,Asset,PPE,97209.34,1.2551,122007.44
2020-03-01,SummonStorm BR,Liability,Accounts Payable,136694.33,0.9973,136325.26
2020-03-01,SummonStorm BR,Liability,Deferred Revenue,71429.47,1.1221,80151.01
2020-03-01,SummonStorm BR,Liability,Accrued Expenses,108693.72,1.2806,139193.18
2020-03-01,SummonStorm BR,Equity,Retained Earnings,88509.78,1.2712,112513.63
2020-03-01,SummonStorm BR,Equity,Share Capital,114741.01,1.1243,129003.32
2020-04-01,Tapstorm SG,Asset,Cash,35327.41,1.1728,41431.99
2020-04-01,Tapstorm SG,Asset,Accounts Receivable,135305.57,1.2307,166520.56
2020-04-01,Tapstorm SG,Asset,Prepaid Expenses,98554.66,1.234,121616.45
2020-04-01,Tapstorm SG,Asset,PPE,113024.47,0.8104,91595.03
2020-04-01,Tapstorm SG,Liability,Accounts Payable,76415.07,0.8963,68490.83
2020-04-01,Tapstorm SG,Liability,Deferred Revenue,150082.37,0.9264,139036.31
2020-04-01,Tapstorm SG,Liability,Accrued Expenses,110338.26,1.1242,124042.27
2020-04-01,Tapstorm SG,Equity,Retained Earnings,88607.53,0.9051,80198.68
2020-04-01,Tapstorm SG,Equity,Share Capital,37086.06,1.2397,45975.59
2020-04-01,TapForge CN,Asset,Cash,89565.73,0.9866,88365.55
2020-04-01,TapForge CN,Asset,Accounts Receivable,30418.17,1.2978,39476.7
2020-04-01,TapForge CN,Asset,Prepaid Expenses,103830.62,1.0997,114182.53
2020-04-01,TapForge CN,Asset,PPE,117725.14,0.9444,111179.62
2020-04-01,TapForge CN,Liability,Accounts Payable,121263.08,1.2454,151021.04
2020-04-01,TapForge CN,Liability,Deferred Revenue,74260.96,1.0426,77424.48
2020-04-01,TapForge CN,Liability,Accrued Expenses,81012.3,0.861,69751.59
2020-04-01,TapForge CN,Equity,Retained Earnings,97208.48,1.2343,119984.43
2020-04-01,TapForge CN,Equity,Share Capital,83577.25,1.0794,90213.28
2020-04-01,WhaleCare PH,Asset,Cash,50204.89,0.9075,45560.94
2020-04-01,WhaleCare PH,Asset,Accounts Receivable,81393.77,1.0783,87766.9
2020-04-01,WhaleCare PH,Asset,Prepaid Expenses,111979.73,1.175,131576.18
2020-04-01,WhaleCare PH,Asset,PPE,86211.14,1.0006,86262.87
2020-04-01,WhaleCare PH,Liability,Accounts Payable,92947.74,0.8774,81552.35
2020-04-01,WhaleCare PH,Liability,Deferred Revenue,84392.33,0.992,83717.19
2020-04-01,WhaleCare PH,Liability,Accrued Expenses,170251.96,1.2213,207928.72
2020-04-01,WhaleCare PH,Equity,Retained Earnings,103763.21,0.8094,83985.94
2020-04-01,WhaleCare PH,Equity,Share Capital,106711.35,1.1515,122878.12
2020-04-01,SummonStorm BR,Asset,Cash,82856.95,1.2775,105849.75
2020-04-01,SummonStorm BR,Asset,Accounts Receivable,114194.67,0.991,113166.92
2020-04-01,SummonStorm BR,Asset,Prepaid Expenses,102941.02,1.1045,113698.36
2020-04-01,SummonStorm BR,Asset,PPE,47763.26,1.1925,56957.69
2020-04-01,SummonStorm BR,Liability,Accounts Payable,144890.32,0.9386,135994.05
2020-04-01,SummonStorm BR,Liability,Deferred Revenue,96706.5,1.1267,108959.21
2020-04-01,SummonStorm BR,Liability,Accrued Expenses,116080.61,1.1578,134398.13
2020-04-01,SummonStorm BR,Equity,Retained Earnings,80959.32,0.9343,75640.29
2020-04-01,SummonStorm BR,Equity,Share Capital,113411.33,1.2842,145642.83
2020-05-01,Tapstorm SG,Asset,Cash,119986.63,0.8298,99564.91
2020-05-01,Tapstorm SG,Asset,Accounts Receivable,56069.65,1.1218,62898.93
2020-05-01,Tapstorm SG,Asset,Prepaid Expenses,115645.27,0.9965,115240.51
2020-05-01,Tapstorm SG,Asset,PPE,96784.54,1.2544,121406.53
2020-05-01,Tapstorm SG,Liability,Accounts Payable,69157.77,1.2042,83279.79
2020-05-01,Tapstorm SG,Liability,Deferred Revenue,150184.46,0.9311,139836.75
2020-05-01,Tapstorm SG,Liability,Accrued Expenses,72003.0,0.9742,70145.32
2020-05-01,Tapstorm SG,Equity,Retained Earnings,107008.38,1.2159,130111.49
2020-05-01,Tapstorm SG,Equity,Share Capital,62784.58,0.9849,61836.53
2020-05-01,TapForge CN,Asset,Cash,66961.82,0.9368,62729.83
2020-05-01,TapForge CN,Asset,Accounts Receivable,131775.46,1.1615,153057.2
2020-05-01,TapForge CN,Asset,Prepaid Expenses,89466.92,0.9689,86684.5
2020-05-01,TapForge CN,Asset,PPE,143273.7,1.0388,148832.72
2020-05-01,TapForge CN,Liability,Accounts Payable,87631.29,0.957,83863.14
2020-05-01,TapForge CN,Liability,Deferred Revenue,86328.94,1.0246,88452.63
2020-05-01,TapForge CN,Liability,Accrued Expenses,77163.75,1.1746,90636.54
2020-05-01,TapForge CN,Equity,Retained Earnings,85231.01,0.8844,75378.31
2020-05-01,TapForge CN,Equity,Share Capital,118558.91,1.2241,145127.96
2020-05-01,WhaleCare PH,Asset,Cash,102599.89,0.8626,88502.67
2020-05-01,WhaleCare PH,Asset,Accounts Receivable,90786.09,1.1354,103078.53
2020-05-01,WhaleCare PH,Asset,Prepaid Expenses,120706.18,1.271,153417.55
2020-05-01,WhaleCare PH,Asset,PPE,116513.11,0.9071,105689.04
2020-05-01,WhaleCare PH,Liability,Accounts Payable,91613.45,0.9231,84568.38
2020-05-01,WhaleCare PH,Liability,Deferred Revenue,145732.35,1.2981,189175.16
2020-05-01,WhaleCare PH,Liability,Accrued Expenses,53747.27,1.2476,67055.09
2020-05-01,WhaleCare PH,Equity,Retained Earnings,112177.12,0.9248,103741.4
2020-05-01,WhaleCare PH,Equity,Share Capital,96315.5,0.8571,82552.02
2020-05-01,SummonStorm BR,Asset,Cash,115085.72,0.8848,101827.85
2020-05-01,SummonStorm BR,Asset,Accounts Receivable,103130.69,1.0744,110803.61
2020-05-01,SummonStorm BR,Asset,Prepaid Expenses,107883.52,1.0636,114744.91
2020-05-01,SummonStorm BR,Asset,PPE,46336.64,1.0579,49019.53
2020-05-01,SummonStorm BR,Liability,Accounts Payable,106781.94,1.1621,124091.29
2020-05-01,SummonStorm BR,Liability,Deferred Revenue,131274.27,0.9297,122045.69
2020-05-01,SummonStorm BR,Liability,Accrued Expenses,81883.43,1.0488,85879.34
2020-05-01,SummonStorm BR,Equity,Retained Earnings,129883.13,0.859,111569.61
2020-05-01,SummonStorm BR,Equity,Share Capital,89401.6,0.9042,80836.93
2020-06-01,Tapstorm SG,Asset,Cash,82217.29,0.9118,74965.73
2020-06-01,Tapstorm SG,Asset,Accounts Receivable,82914.08,1.0988,91105.99
2020-06-01,Tapstorm SG,Asset,Prepaid Expenses,69373.07,1.1349,78731.5
2020-06-01,Tapstorm SG,Asset,PPE,102153.96,0.8867,90579.92
2020-06-01,Tapstorm SG,Liability,Accounts Payable,81279.0,1.2351,100387.69
2020-06-01,Tapstorm SG,Liability,Deferred Revenue,83577.02,1.0822,90447.05
2020-06-01,Tapstorm SG,Liability,Accrued Expenses,79471.1,1.1238,89309.62
2020-06-01,Tapstorm SG,Equity,Retained Earnings,109813.76,1.2492,137179.35
2020-06-01,Tapstorm SG,Equity,Share Capital,62027.44,1.2128,75226.88
2020-06-01,TapForge CN,Asset,Cash,117764.66,0.8911,104940.09
2020-06-01,TapForge CN,Asset,Accounts Receivable,115062.89,1.0314,118675.86
2020-06-01,TapForge CN,Asset,Prepaid Expenses,115252.84,1.1778,135744.79
2020-06-01,TapForge CN,Asset,PPE,70582.45,0.9619,67893.26
2020-06-01,TapForge CN,Liability,Accounts Payable,107157.56,0.9661,103524.92
2020-06-01,TapForge CN,Liability,Deferred Revenue,139104.7,1.033,143695.16
2020-06-01,TapForge CN,Liability,Accrued Expenses,63769.77,1.1577,73826.26
2020-06-01,TapForge CN,Equity,Retained Earnings,105433.12,0.8484,89449.46
2020-06-01,TapForge CN,Equity,Share Capital,66578.14,1.1951,79567.54
2020-06-01,WhaleCare PH,Asset,Cash,91797.32,1.0796,99104.39
2020-06-01,WhaleCare PH,Asset,Accounts Receivable,99022.54,1.2883,127570.74
2020-06-01,WhaleCare PH,Asset,Prepaid Expenses,81000.47,0.8694,70421.81
2020-06-01,WhaleCare PH,Asset,PPE,77482.22,0.9347,72422.63
2020-06-01,WhaleCare PH,Liability,Accounts Payable,107682.88,1.2767,137478.73
2020-06-01,WhaleCare PH,Liability,Deferred Revenue,69695.55,1.2747,88840.92
2020-06-01,WhaleCare PH,Liability,Accrued Expenses,115494.17,0.9262,106970.7
2020-06-01,WhaleCare PH,Equity,Retained Earnings,152248.32,1.187,180718.76
2020-06-01,WhaleCare PH,Equity,Share Capital,61664.75,1.2034,74207.36
2020-06-01,SummonStorm BR,Asset,Cash,59866.24,0.8279,49563.26
2020-06-01,SummonStorm BR,Asset,Accounts Receivable,54532.61,1.1213,61147.42
2020-06-01,SummonStorm BR,Asset,Prepaid Expenses,85710.86,0.9423,80765.34
2020-06-01,SummonStorm BR,Asset,PPE,125742.33,1.0126,127326.68
2020-06-01,SummonStorm BR,Liability,Accounts Payable,128433.99,1.2329,158346.27
2020-06-01,SummonStorm BR,Liability,Deferred Revenue,112638.58,1.0001,112649.84
2020-06-01,SummonStorm BR,Liability,Accrued Expenses,106011.6,1.1463,121521.1
2020-06-01,SummonStorm BR,Equity,Retained Earnings,138274.03,1.058,146293.92
2020-06-01,SummonStorm BR,Equity,Share Capital,85320.73,1.2945,110447.68
2020-07-01,Tapstorm SG,Asset,Cash,116763.11,0.9681,113038.37
2020-07-01,Tapstorm SG,Asset,Accounts Receivable,159560.03,1.0822,172675.86
2020-07-01,Tapstorm SG,Asset,Prepaid Expenses,137017.37,1.0564,144745.15
2020-07-01,Tapstorm SG,Asset,PPE,66373.28,1.2348,81957.73
2020-07-01,Tapstorm SG,Liability,Accounts Payable,82627.23,0.8477,70043.1
2020-07-01,Tapstorm SG,Liability,Deferred Revenue,161015.22,1.0441,168115.99
2020-07-01,Tapstorm SG,Liability,Accrued Expenses,82731.55,1.1972,99046.21
2020-07-01,Tapstorm SG,Equity,Retained Earnings,147952.83,0.9738,144076.47
2020-07-01,Tapstorm SG,Equity,Share Capital,87049.73,1.0455,91010.49
2020-07-01,TapForge CN,Asset,Cash,94031.11,0.9341,87834.46
2020-07-01,TapForge CN,Asset,Accounts Receivable,72464.55,0.9407,68167.4
2020-07-01,TapForge CN,Asset,Prepaid Expenses,77584.52,1.0338,80206.88
2020-07-01,TapForge CN,Asset,PPE,94137.64,1.044,98279.7
2020-07-01,TapForge CN,Liability,Accounts Payable,105536.3,1.0583,111689.07
2020-07-01,TapForge CN,Liability,Deferred Revenue,87922.66,0.9021,79315.03
2020-07-01,TapForge CN,Liability,Accrued Expenses,121007.04,1.0714,129646.94
2020-07-01,TapForge CN,Equity,Retained Earnings,87990.33,1.2806,112680.42
2020-07-01,TapForge CN,Equity,Share Capital,38074.59,1.1456,43618.25
2020-07-01,WhaleCare PH,Asset,Cash,93774.77,1.1727,109969.67
2020-07-01,WhaleCare PH,Asset,Accounts Receivable,85798.53,0.8317,71358.64
2020-07-01,WhaleCare PH,Asset,Prepaid Expenses,144621.31,0.8648,125068.51
2020-07-01,WhaleCare PH,Asset,PPE,126876.36,0.8055,102198.91
2020-07-01,WhaleCare PH,Liability,Accounts Payable,129800.28,1.0774,139846.82
2020-07-01,WhaleCare PH,Liability,Deferred Revenue,121079.08,1.0384,125728.52
2020-07-01,WhaleCare PH,Liability,Accrued Expenses,113175.03,1.1615,131452.8
2020-07-01,WhaleCare PH,Equity,Retained Earnings,113082.35,0.9436,106704.51
2020-07-01,WhaleCare PH,Equity,Share Capital,127689.27,1.1967,152805.75
2020-07-01,SummonStorm BR,Asset,Cash,117402.42,0.8359,98136.68
2020-07-01,SummonStorm BR,Asset,Accounts Receivable,84189.91,1.1545,97197.25
2020-07-01,SummonStorm BR,Asset,Prepaid Expenses,57541.88,1.162,66863.66
2020-07-01,SummonStorm BR,Asset,PPE,43401.43,1.2729,55245.68
2020-07-01,SummonStorm BR,Liability,Accounts Payable,74519.44,1.0065,75003.82
2020-07-01,SummonStorm BR,Liability,Deferred Revenue,77920.97,1.1912,92819.46
2020-07-01,SummonStorm BR,Liability,Accrued Expenses,97153.05,1.2025,116826.54
2020-07-01,SummonStorm BR,Equity,Retained Earnings,96303.07,1.0702,103063.55
2020-07-01,SummonStorm BR,Equity,Share Capital,152145.35,0.889,135257.22
2020-08-01,Tapstorm SG,Asset,Cash,116845.9,1.2488,145917.16
2020-08-01,Tapstorm SG,Asset,Accounts Receivable,77626.32,1.1945,92724.64
2020-08-01,Tapstorm SG,Asset,Prepaid Expenses,141144.48,1.1435,161398.71
2020-08-01,Tapstorm SG,Asset,PPE,93101.52,1.0332,96192.49
2020-08-01,Tapstorm SG,Liability,Accounts Payable,116995.48,0.8704,101832.87
2020-08-01,Tapstorm SG,Liability,Deferred Revenue,114049.95,1.2476,142288.72
2020-08-01,Tapstorm SG,Liability,Accrued Expenses,101212.43,0.8794,89006.21
2020-08-01,Tapstorm SG,Equity,Retained Earnings,142422.21,1.1419,162631.92
2020-08-01,Tapstorm SG,Equity,Share Capital,82474.68,1.2003,98994.36
2020-08-01,TapForge CN,Asset,Cash,103859.15,1.1717,121691.77
2020-08-01,TapForge CN,Asset,Accounts Receivable,72944.4,1.1418,83287.92
2020-08-01,TapForge CN,Asset,Prepaid Expenses,110513.83,1.1085,122504.58
2020-08-01,TapForge CN,Asset,PPE,112225.15,1.1947,134075.39
2020-08-01,TapForge CN,Liability,Accounts Payable,102575.28,1.2192,125059.78
2020-08-01,TapForge CN,Liability,Deferred Revenue,102041.09,0.9939,101418.64
2020-08-01,TapForge CN,Liability,Accrued Expenses,94753.75,0.8442,79991.12
2020-08-01,TapForge CN,Equity,Retained Earnings,111299.14,1.184,131778.18
2020-08-01,TapForge CN,Equity,Share Capital,118547.48,1.242,147235.97
2020-08-01,WhaleCare PH,Asset,Cash,63651.68,1.2999,82740.82
2020-08-01,WhaleCare PH,Asset,Accounts Receivable,91675.82,1.2667,116125.76
2020-08-01,WhaleCare PH,Asset,Prepaid Expenses,89145.21,0.9427,84037.19
2020-08-01,WhaleCare PH,Asset,PPE,119834.55,0.9925,118935.79
2020-08-01,WhaleCare PH,Liability,Accounts Payable,136253.78,0.8271,112695.5
2020-08-01,WhaleCare PH,Liability,Deferred Revenue,112828.44,0.914,103125.19
2020-08-01,WhaleCare PH,Liability,Accrued Expenses,104294.34,0.9813,102344.04
2020-08-01,WhaleCare PH,Equity,Retained Earnings,76944.52,0.848,65248.95
2020-08-01,WhaleCare PH,Equity,Share Capital,155853.48,1.1778,183564.23
2020-08-01,SummonStorm BR,Asset,Cash,72326.67,1.0354,74887.03
2020-08-01,SummonStorm BR,Asset,Accounts Receivable,62346.64,0.9722,60613.4
2020-08-01,SummonStorm BR,Asset,Prepaid Expenses,121585.15,0.9476,115214.09
2020-08-01,SummonStorm BR,Asset,PPE,84654.38,1.1147,94364.24
2020-08-01,SummonStorm BR,Liability,Accounts Payable,122936.08,1.0033,123341.77
2020-08-01,SummonStorm BR,Liability,Deferred Revenue,142964.16,1.2274,175474.21
2020-08-01,SummonStorm BR,Liability,Accrued Expenses,91978.22,1.1036,101507.16
2020-08-01,SummonStorm BR,Equity,Retained Earnings,113678.44,1.0465,118964.49
2020-08-01,SummonStorm BR,Equity,Share Capital,86612.87,1.2537,108586.56
2020-09-01,Tapstorm SG,Asset,Cash,102218.97,1.0566,108004.56
2020-09-01,Tapstorm SG,Asset,Accounts Receivable,96160.13,0.8212,78966.7
2020-09-01,Tapstorm SG,Asset,Prepaid Expenses,128801.53,0.8704,112108.85
2020-09-01,Tapstorm SG,Asset,PPE,83643.62,1.282,107231.12
2020-09-01,Tapstorm SG,Liability,Accounts Payable,79788.29,0.984,78511.68
2020-09-01,Tapstorm SG,Liability,Deferred Revenue,94081.15,1.1465,107864.04
2020-09-01,Tapstorm SG,Liability,Accrued Expenses,119889.08,0.8232,98692.69
2020-09-01,Tapstorm SG,Equity,Retained Earnings,76025.85,0.895,68043.14
2020-09-01,Tapstorm SG,Equity,Share Capital,64508.91,1.1583,74720.67
2020-09-01,TapForge CN,Asset,Cash,135250.16,0.8901,120386.17
2020-09-01,TapForge CN,Asset,Accounts Receivable,33316.41,0.8585,28602.14
2020-09-01,TapForge CN,Asset,Prepaid Expenses,60940.06,1.2042,73384.02
2020-09-01,TapForge CN,Asset,PPE,164979.85,1.1239,185420.85
2020-09-01,TapForge CN,Liability,Accounts Payable,47445.53,0.8787,41690.39
2020-09-01,TapForge CN,Liability,Deferred Revenue,86870.92,1.2668,110048.08
2020-09-01,TapForge CN,Liability,Accrued Expenses,80535.5,0.8314,66957.21
2020-09-01,TapForge CN,Equity,Retained Earnings,31178.61,1.1831,36887.41
2020-09-01,TapForge CN,Equity,Share Capital,69899.67,0.9365,65461.04
2020-09-01,WhaleCare PH,Asset,Cash,107954.05,1.2194,131639.17
2020-09-01,WhaleCare PH,Asset,Accounts Receivable,122644.36,0.9911,121552.83
2020-09-01,WhaleCare PH,Asset,Prepaid Expenses,133103.38,0.8172,108772.08
2020-09-01,WhaleCare PH,Asset,PPE,88789.57,1.1425,101442.08
2020-09-01,WhaleCare PH,Liability,Accounts Payable,44512.62,1.1571,51505.55
2020-09-01,WhaleCare PH,Liability,Deferred Revenue,101552.8,1.2554,127489.39
2020-09-01,WhaleCare PH,Liability,Accrued Expenses,141234.76,0.8373,118255.86
2020-09-01,WhaleCare PH,Equity,Retained Earnings,145776.33,0.9837,143400.18
2020-09-01,WhaleCare PH,Equity,Share Capital,129473.39,0.9365,121251.83
2020-09-01,SummonStorm BR,Asset,Cash,59107.15,1.2229,72282.13
2020-09-01,SummonStorm BR,Asset,Accounts Receivable,94163.5,1.2182,114709.98
2020-09-01,SummonStorm BR,Asset,Prepaid Expenses,106899.01,1.1665,124697.7
2020-09-01,SummonStorm BR,Asset,PPE,111764.69,1.1213,125321.75
2020-09-01,SummonStorm BR,Liability,Accounts Payable,46642.75,1.2569,58625.27
2020-09-01,SummonStorm BR,Liability,Deferred Revenue,161686.45,0.9246,149495.29
2020-09-01,SummonStorm BR,Liability,Accrued Expenses,139585.77,1.0464,146062.55
2020-09-01,SummonStorm BR,Equity,Retained Earnings,99918.22,1.1319,113097.43
2020-09-01,SummonStorm BR,Equity,Share Capital,103833.34,1.0231,106231.89
2020-10-01,Tapstorm SG,Asset,Cash,85010.73,1.0106,85911.84
2020-10-01,Tapstorm SG,Asset,Accounts Receivable,137081.21,1.1422,156574.16
2020-10-01,Tapstorm SG,Asset,Prepaid Expenses,65281.95,0.945,61691.44
2020-10-01,Tapstorm SG,Asset,PPE,103408.31,1.2973,134151.6
2020-10-01,Tapstorm SG,Liability,Accounts Payable,74879.32,1.063,79596.72
2020-10-01,Tapstorm SG,Liability,Deferred Revenue,99470.63,1.2788,127203.04
2020-10-01,Tapstorm SG,Liability,Accrued Expenses,135069.94,0.9809,132490.1
2020-10-01,Tapstorm SG,Equity,Retained Earnings,80707.29,1.0122,81691.92
