Date,Entity,Flow Type,Account Group,Local Currency Flow,FX Rate,EUR Flow
2020-02-01,SummonStorm BR,Financing,Loan Repayment,-17188.79,1.1285,-19397.55
2020-03-01,Tapstorm SG,Operating,Net Income,-42896.29,0.9789,-41991.18
2020-03-01,Tapstorm SG,Operating,Depreciation,-21432.36,1.2628,-27064.78
2020-03-01,Tapstorm SG,Operating,Change in Working Capital,33164.58,1.1714,38848.99
2020-03-01,Tapstorm SG,Investing,CapEx,52309.63,1.0244,53585.98
2020-03-01,Tapstorm SG,Investing,Purchase of Intangibles,54019.59,0.8981,48514.99
2020-03-01,Tapstorm SG,Financing,Equity Issuance,8893.61,0.9949,8848.25
2020-03-01,Tapstorm SG,Financing,Loan Repayment,37404.45,1.0835,40527.72
2020-03-01,TapForge CN,Operating,Net Income,13670.01,0.8548,11685.12
2020-03-01,TapForge CN,Operating,Depreciation,29502.79,0.8841,26083.42
2020-03-01,TapForge CN,Operating,Change in Working Capital,30865.86,1.0647,32862.88
2020-03-01,TapForge CN,Investing,CapEx,-35334.67,1.1989,-42362.74
2020-03-01,TapForge CN,Investing,Purchase of Intangibles,-9643.3,0.975,-9402.22
2020-03-01,TapForge CN,Financing,Equity Issuance,-10856.57,1.0378,-11266.95
2020-03-01,TapForge CN,Financing,Loan Repayment,15071.0,1.0343,15587.94
2020-03-01,WhaleCare PH,Operating,Net Income,31998.53,0.9672,30948.98
2020-03-01,WhaleCare PH,Operating,Depreciation,27946.96,1.0663,29799.84
2020-03-01,WhaleCare PH,Operating,Change in Working Capital,-29937.98,0.919,-27513.0
2020-03-01,WhaleCare PH,Investing,CapEx,10882.24,1.2044,13106.57
2020-03-01,WhaleCare PH,Investing,Purchase of Intangibles,27009.41,0.9853,26612.37
2020-03-01,WhaleCare PH,Financing,Equity Issuance,-17093.31,1.0973,-18756.49
2020-03-01,WhaleCare PH,Financing,Loan Repayment,17614.14,1.1506,20266.83
2020-03-01,SummonStorm BR,Operating,Net Income,23464.23,0.978,22948.02
2020-03-01,SummonStorm BR,Operating,Depreciation,-6809.67,0.8666,-5901.26
2020-03-01,SummonStorm BR,Operating,Change in Working Capital,31366.2,1.1473,35986.44
2020-03-01,SummonStorm BR,Investing,CapEx,7801.3,1.1954,9325.67
2020-03-01,SummonStorm BR,Investing,Purchase of Intangibles,20065.39,1.2252,24584.12
2020-03-01,SummonStorm BR,Financing,Equity Issuance,33901.5,1.2637,42841.33
2020-03-01,SummonStorm BR,Financing,Loan Repayment,6862.03,1.0888,7471.38
2020-04-01,Tapstorm SG,Operating,Net Income,8166.3,1.2885,10522.28
2020-04-01,Tapstorm SG,Operating,Depreciation,37426.97,1.0467,39174.81
2020-04-01,Tapstorm SG,Operating,Change in Working Capital,-12101.39,0.9722,-11764.97
2020-04-01,Tapstorm SG,Investing,CapEx,36613.71,1.2771,46759.37
2020-04-01,Tapstorm SG,Investing,Purchase of Intangibles,30271.54,0.829,25095.11
2020-04-01,Tapstorm SG,Financing,Equity Issuance,8921.32,1.0551,9412.88
2020-04-01,Tapstorm SG,Financing,Loan Repayment,27054.5,1.2555,33966.92
2020-04-01,TapForge CN,Operating,Net Income,30435.69,0.8488,25833.81
2020-04-01,TapForge CN,Operating,Depreciation,-8266.74,0.9538,-7884.82
2020-04-01,TapForge CN,Operating,Change in Working Capital,25729.43,0.9205,23683.94
2020-04-01,TapForge CN,Investing,CapEx,35028.8,0.8106,28394.35
2020-04-01,TapForge CN,Investing,Purchase of Intangibles,24018.91,1.2517,30064.47
2020-04-01,TapForge CN,Financing,Equity Issuance,-26798.06,1.1925,-31956.69
2020-04-01,TapForge CN,Financing,Loan Repayment,-23319.24,1.1493,-26800.8
2020-04-01,WhaleCare PH,Operating,Net Income,37281.77,1.068,39816.93
2020-04-01,WhaleCare PH,Operating,Depreciation,-23834.61,1.0569,-25190.8
2020-04-01,WhaleCare PH,Operating,Change in Working Capital,16627.05,1.1705,19461.96
2020-04-01,WhaleCare PH,Investing,CapEx,-22305.52,1.0742,-23960.59
2020-04-01,WhaleCare PH,Investing,Purchase of Intangibles,6234.33,0.8046,5016.14
2020-04-01,WhaleCare PH,Financing,Equity Issuance,-11171.0,1.2885,-14393.83
2020-04-01,WhaleCare PH,Financing,Loan Repayment,-15065.03,0.9128,-13751.36
2020-04-01,SummonStorm BR,Operating,Net Income,-43290.1,1.1204,-48502.23
2020-04-01,SummonStorm BR,Operating,Depreciation,37226.01,1.0679,39753.66
2020-04-01,SummonStorm BR,Operating,Change in Working Capital,-5283.03,1.1997,-6338.05
2020-04-01,SummonStorm BR,Investing,CapEx,-12410.79,0.9589,-11900.71
2020-04-01,SummonStorm BR,Investing,Purchase of Intangibles,17512.93,0.914,16006.82
2020-04-01,SummonStorm BR,Financing,Equity Issuance,22707.66,1.2212,27730.59
2020-04-01,SummonStorm BR,Financing,Loan Repayment,-12634.29,1.1985,-15142.2
2020-05-01,Tapstorm SG,Operating,Net Income,17649.93,1.0714,18910.14
2020-05-01,Tapstorm SG,Operating,Depreciation,-37297.36,0.9159,-34160.65
2020-05-01,Tapstorm SG,Operating,Change in Working Capital,-13003.03,0.9751,-12679.25
2020-05-01,Tapstorm SG,Investing,CapEx,-31742.92,0.8543,-27117.98
2020-05-01,Tapstorm SG,Investing,Purchase of Intangibles,34143.01,0.8811,30083.41
2020-05-01,Tapstorm SG,Financing,Equity Issuance,53783.48,0.9029,48561.1
2020-05-01,Tapstorm SG,Financing,Loan Repayment,16752.07,0.9383,15718.47
2020-05-01,TapForge CN,Operating,Net Income,-11582.12,1.0378,-12019.92
2020-05-01,TapForge CN,Operating,Depreciation,-4361.13,0.9184,-4005.26
2020-05-01,TapForge CN,Operating,Change in Working Capital,-32925.67,1.2771,-42049.37
2020-05-01,TapForge CN,Investing,CapEx,-30142.83,1.0847,-32695.93
2020-05-01,TapForge CN,Investing,Purchase of Intangibles,23757.84,1.0705,25432.77
2020-05-01,TapForge CN,Financing,Equity Issuance,-28877.6,0.8765,-25311.22
2020-05-01,TapForge CN,Financing,Loan Repayment,25995.74,0.8155,21199.53
2020-05-01,WhaleCare PH,Operating,Net Income,-20096.02,1.2169,-24454.85
2020-05-01,WhaleCare PH,Operating,Depreciation,-20971.5,1.1402,-23911.7
2020-05-01,WhaleCare PH,Operating,Change in Working Capital,23838.47,0.8397,20017.16
2020-05-01,WhaleCare PH,Investing,CapEx,54415.92,1.0942,59541.9
2020-05-01,WhaleCare PH,Investing,Purchase of Intangibles,-35925.77,1.0889,-39119.57
2020-05-01,WhaleCare PH,Financing,Equity Issuance,-11018.9,0.8958,-9870.73
2020-05-01,WhaleCare PH,Financing,Loan Repayment,29765.74,1.2567,37406.61
2020-05-01,SummonStorm BR,Operating,Net Income,24915.73,1.1833,29482.78
2020-05-01,SummonStorm BR,Operating,Depreciation,46670.07,1.0778,50301.0
2020-05-01,SummonStorm BR,Operating,Change in Working Capital,-40105.62,1.1725,-47023.84
2020-05-01,SummonStorm BR,Investing,CapEx,-23791.4,0.9337,-22214.03
2020-05-01,SummonStorm BR,Investing,Purchase of Intangibles,24660.24,1.1156,27510.96
2020-05-01,SummonStorm BR,Financing,Equity Issuance,11361.11,0.8666,9845.54
2020-05-01,SummonStorm BR,Financing,Loan Repayment,-32859.67,0.8108,-26642.62
2020-06-01,Tapstorm SG,Operating,Net Income,38758.5,1.1957,46343.54
2020-06-01,Tapstorm SG,Operating,Depreciation,26460.99,0.891,23576.74
2020-06-01,Tapstorm SG,Operating,Change in Working Capital,28174.22,1.2192,34350.01
2020-06-01,Tapstorm SG,Investing,CapEx,-21081.91,1.1774,-24821.84
2020-06-01,Tapstorm SG,Investing,Purchase of Intangibles,35581.45,1.2613,44878.88
2020-06-01,Tapstorm SG,Financing,Equity Issuance,8905.85,0.8769,7809.54
2020-06-01,Tapstorm SG,Financing,Loan Repayment,11577.67,1.0209,11819.64
2020-06-01,TapForge CN,Operating,Net Income,36149.07,0.9798,35418.86
2020-06-01,TapForge CN,Operating,Depreciation,8073.37,0.8959,7232.93
2020-06-01,TapForge CN,Operating,Change in Working Capital,-17398.15,1.2372,-21524.99
2020-06-01,TapForge CN,Investing,CapEx,21657.96,1.1671,25277.01
2020-06-01,TapForge CN,Investing,Purchase of Intangibles,30654.2,0.8229,25225.34
2020-06-01,TapForge CN,Financing,Equity Issuance,-26847.03,1.0434,-28012.19
2020-06-01,TapForge CN,Financing,Loan Repayment,-11932.72,1.137,-13567.5
2020-06-01,WhaleCare PH,Operating,Net Income,-31971.92,1.2144,-38826.7
2020-06-01,WhaleCare PH,Operating,Depreciation,22348.4,1.1746,26250.43
2020-06-01,WhaleCare PH,Operating,Change in Working Capital,37798.44,1.0582,39998.31
2020-06-01,WhaleCare PH,Investing,CapEx,13361.93,0.838,11197.3
2020-06-01,WhaleCare PH,Investing,Purchase of Intangibles,43908.99,0.8969,39381.97
2020-06-01,WhaleCare PH,Financing,Equity Issuance,10893.34,1.2934,14089.45
2020-06-01,WhaleCare PH,Financing,Loan Repayment,-19448.36,1.1062,-21513.78
2020-06-01,SummonStorm BR,Operating,Net Income,40122.02,0.8663,34757.71
2020-06-01,SummonStorm BR,Operating,Depreciation,-52059.85,1.2543,-65298.67
2020-06-01,SummonStorm BR,Operating,Change in Working Capital,10915.59,1.1784,12862.93
2020-06-01,SummonStorm BR,Investing,CapEx,54920.37,0.9325,51213.25
2020-06-01,SummonStorm BR,Investing,Purchase of Intangibles,3556.27,1.0547,3750.8
2020-06-01,SummonStorm BR,Financing,Equity Issuance,-34071.07,1.1344,-38650.22
2020-06-01,SummonStorm BR,Financing,Loan Repayment,-46137.03,1.0744,-49569.63
2020-07-01,Tapstorm SG,Operating,Net Income,12616.24,1.2603,15900.25
2020-07-01,Tapstorm SG,Operating,Depreciation,-39746.53,0.8911,-35418.13
2020-07-01,Tapstorm SG,Operating,Change in Working Capital,-18864.93,1.1012,-20774.06
2020-07-01,Tapstorm SG,Investing,CapEx,16001.54,1.0652,17044.84
2020-07-01,Tapstorm SG,Investing,Purchase of Intangibles,-8726.62,1.0054,-8773.74
2020-07-01,Tapstorm SG,Financing,Equity Issuance,24053.84,1.2299,29583.82
2020-07-01,Tapstorm SG,Financing,Loan Repayment,26716.93,1.1432,30542.79
2020-07-01,TapForge CN,Operating,Net Income,-10673.95,0.9782,-10441.26
2020-07-01,TapForge CN,Operating,Depreciation,42092.53,1.0171,42812.31
2020-07-01,TapForge CN,Operating,Change in Working Capital,17706.49,0.9471,16769.82
2020-07-01,TapForge CN,Investing,CapEx,-24538.11,1.1527,-28285.08
2020-07-01,TapForge CN,Investing,Purchase of Intangibles,-27780.47,0.8032,-22313.27
2020-07-01,TapForge CN,Financing,Equity Issuance,-60949.7,0.97,-59121.21
2020-07-01,TapForge CN,Financing,Loan Repayment,-40391.96,0.906,-36595.12
2020-07-01,WhaleCare PH,Operating,Net Income,-34786.92,1.146,-39865.81
2020-07-01,WhaleCare PH,Operating,Depreciation,19702.88,1.0908,21491.9
2020-07-01,WhaleCare PH,Operating,Change in Working Capital,-29486.55,1.0134,-29881.67
2020-07-01,WhaleCare PH,Investing,CapEx,30725.35,1.231,37822.91
2020-07-01,WhaleCare PH,Investing,Purchase of Intangibles,24629.94,0.932,22955.1
2020-07-01,WhaleCare PH,Financing,Equity Issuance,-36497.12,1.1235,-41004.51
2020-07-01,WhaleCare PH,Financing,Loan Repayment,62572.62,0.9383,58711.89
2020-07-01,SummonStorm BR,Operating,Net Income,11679.32,0.9051,10570.95
2020-07-01,SummonStorm BR,Operating,Depreciation,-29966.31,0.9639,-28884.53
2020-07-01,SummonStorm BR,Operating,Change in Working Capital,29693.39,1.0957,32535.05
2020-07-01,SummonStorm BR,Investing,CapEx,-22155.34,0.8205,-18178.46
2020-07-01,SummonStorm BR,Investing,Purchase of Intangibles,16966.84,0.9101,15441.52
2020-07-01,SummonStorm BR,Financing,Equity Issuance,-16345.83,1.278,-20889.97
2020-07-01,SummonStorm BR,Financing,Loan Repayment,-51897.09,1.1725,-60849.34
2020-08-01,Tapstorm SG,Operating,Net Income,-26902.53,0.9874,-26563.56
2020-08-01,Tapstorm SG,Operating,Depreciation,37159.11,1.0176,37813.11
2020-08-01,Tapstorm SG,Operating,Change in Working Capital,21641.56,1.1866,25679.88
2020-08-01,Tapstorm SG,Investing,CapEx,30195.68,0.8995,27161.01
2020-08-01,Tapstorm SG,Investing,Purchase of Intangibles,31198.52,1.1981,37378.95
2020-08-01,Tapstorm SG,Financing,Equity Issuance,22130.65,1.073,23746.19
2020-08-01,Tapstorm SG,Financing,Loan Repayment,-28167.68,1.137,-32026.65
2020-08-01,TapForge CN,Operating,Net Income,40405.65,1.2617,50979.81
2020-08-01,TapForge CN,Operating,Depreciation,-11647.18,0.9615,-11198.76
2020-08-01,TapForge CN,Operating,Change in Working Capital,27708.92,0.8324,23064.91
2020-08-01,TapForge CN,Investing,CapEx,-31867.38,1.0953,-34904.34
2020-08-01,TapForge CN,Investing,Purchase of Intangibles,34580.8,0.9426,32595.86
2020-08-01,TapForge CN,Financing,Equity Issuance,-36518.61,1.2484,-45589.83
2020-08-01,TapForge CN,Financing,Loan Repayment,-33690.11,1.1443,-38551.59
2020-08-01,WhaleCare PH,Operating,Net Income,39334.2,1.2662,49804.96
2020-08-01,WhaleCare PH,Operating,Depreciation,20134.0,1.0961,22068.88
2020-08-01,WhaleCare PH,Operating,Change in Working Capital,42502.69,0.8398,35693.76
2020-08-01,WhaleCare PH,Investing,CapEx,26483.36,1.2944,34280.06
2020-08-01,WhaleCare PH,Investing,Purchase of Intangibles,35482.41,1.2982,46063.26
2020-08-01,WhaleCare PH,Financing,Equity Issuance,9291.72,1.1125,10337.04
2020-08-01,WhaleCare PH,Financing,Loan Repayment,-32956.61,0.9043,-29802.66
2020-08-01,SummonStorm BR,Operating,Net Income,-26850.84,0.9237,-24802.12
2020-08-01,SummonStorm BR,Operating,Depreciation,21392.1,0.9462,20241.21
2020-08-01,SummonStorm BR,Operating,Change in Working Capital,-40531.68,1.1918,-48305.66
2020-08-01,SummonStorm BR,Investing,CapEx,-27693.23,0.8548,-23672.17
2020-08-01,SummonStorm BR,Investing,Purchase of Intangibles,27419.74,1.1038,30265.91
2020-08-01,SummonStorm BR,Financing,Equity Issuance,7856.74,0.9469,7439.55
2020-08-01,SummonStorm BR,Financing,Loan Repayment,16767.12,1.1608,19463.27
2020-09-01,Tapstorm SG,Operating,Net Income,27208.02,1.0076,27414.8
2020-09-01,Tapstorm SG,Operating,Depreciation,16907.99,1.0147,17156.54
2020-09-01,Tapstorm SG,Operating,Change in Working Capital,-42423.64,1.1119,-47170.85
2020-09-01,Tapstorm SG,Investing,CapEx,-21479.14,1.0887,-23384.34
2020-09-01,Tapstorm SG,Investing,Purchase of Intangibles,-13431.02,0.8505,-11423.08
2020-09-01,Tapstorm SG,Financing,Equity Issuance,-11604.83,0.8323,-9658.7
2020-09-01,Tapstorm SG,Financing,Loan Repayment,-23399.85,1.2791,-29930.75
2020-09-01,TapForge CN,Operating,Net Income,-35215.77,1.19,-41906.77
2020-09-01,TapForge CN,Operating,Depreciation,13726.71,1.2232,16790.51
2020-09-01,TapForge CN,Operating,Change in Working Capital,12455.3,1.1295,14068.26
2020-09-01,TapForge CN,Investing,CapEx,18086.27,1.126,20365.14
2020-09-01,TapForge CN,Investing,Purchase of Intangibles,24190.92,1.0153,24561.04
2020-09-01,TapForge CN,Financing,Equity Issuance,-12315.16,0.8803,-10841.04
2020-09-01,TapForge CN,Financing,Loan Repayment,-26455.11,1.2382,-32756.72
2020-09-01,WhaleCare PH,Operating,Net Income,-43676.77,1.0001,-43681.14
2020-09-01,WhaleCare PH,Operating,Depreciation,-24835.6,0.8397,-20854.45
2020-09-01,WhaleCare PH,Operating,Change in Working Capital,-20103.99,1.2001,-24126.8
2020-09-01,WhaleCare PH,Investing,CapEx,38419.55,0.9446,36291.11
2020-09-01,WhaleCare PH,Investing,Purchase of Intangibles,11178.01,0.8596,9608.62
2020-09-01,WhaleCare PH,Financing,Equity Issuance,-31367.54,0.9146,-28688.75
2020-09-01,WhaleCare PH,Financing,Loan Repayment,25321.69,0.9977,25263.45
2020-09-01,SummonStorm BR,Operating,Net Income,-45310.28,1.0267,-46520.06
2020-09-01,SummonStorm BR,Operating,Depreciation,-40049.26,1.126,-45095.47
2020-09-01,SummonStorm BR,Operating,Change in Working Capital,-1531.04,1.1768,-1801.73
2020-09-01,SummonStorm BR,Investing,CapEx,-27512.22,1.0662,-29333.53
2020-09-01,SummonStorm BR,Investing,Purchase of Intangibles,-7488.3,1.2689,-9501.9
2020-09-01,SummonStorm BR,Financing,Equity Issuance,-38687.87,1.023,-39577.69
2020-09-01,SummonStorm BR,Financing,Loan Repayment,-13565.69,0.902,-12236.25
2020-10-01,Tapstorm SG,Operating,Net Income,-34444.01,1.0286,-35429.11
2020-10-01,Tapstorm SG,Operating,Depreciation,-38817.88,1.0094,-39182.77
2020-10-01,Tapstorm SG,Operating,Change in Working Capital,3138.96,1.1533,3620.16
2020-10-01,Tapstorm SG,Investing,CapEx,42682.46,1.178,50279.94
2020-10-01,Tapstorm SG,Investing,Purchase of Intangibles,-38474.95,1.1074,-42607.16
2020-10-01,Tapstorm SG,Financing,Equity Issuance,-12359.81,1.2479,-15423.81
2020-10-01,Tapstorm SG,Financing,Loan Repayment,38935.75,1.0923,42529.52
2020-10-01,TapForge CN,Operating,Net Income,10614.32,1.2993,13791.19
2020-10-01,TapForge CN,Operating,Depreciation,35902.77,0.9369,33637.31
2020-10-01,TapForge CN,Operating,Change in Working Capital,-23905.26,0.9385,-22435.09
2020-10-01,TapForge CN,Investing,CapEx,7963.94,0.9854,7847.67
2020-10-01,TapForge CN,Investing,Purchase of Intangibles,42713.65,0.8458,36127.21
2020-10-01,TapForge CN,Financing,Equity Issuance,-42684.15,0.9632,-41113.37
2020-10-01,TapForge CN,Financing,Loan Repayment,-27309.31,0.9766,-26670.27
2020-10-01,WhaleCare PH,Operating,Net Income,25269.67,0.9299,23498.27
2020-10-01,WhaleCare PH,Operating,Depreciation,20187.26,1.1358,22928.69
2020-10-01,WhaleCare PH,Operating,Change in Working Capital,-31638.67,1.1179,-35368.87
2020-10-01,WhaleCare PH,Investing,CapEx,29906.04,1.0837,32409.18
2020-10-01,WhaleCare PH,Investing,Purchase of Intangibles,-43316.35,1.0058,-43567.58
2020-10-01,WhaleCare PH,Financing,Equity Issuance,-27522.43,1.2049,-33161.78
2020-10-01,WhaleCare PH,Financing,Loan Repayment,-41798.31,0.8841,-36953.89
2020-10-01,SummonStorm BR,Operating,Net Income,2674.84,1.1823,3162.46
2020-10-01,SummonStorm BR,Operating,Depreciation,-34725.34,1.0504,-36475.5
2020-10-01,SummonStorm BR,Operating,Change in Working Capital,27135.61,1.1883,32245.25
2020-10-01,SummonStorm BR,Investing,CapEx,29307.78,1.1522,33768.42
2020-10-01,SummonStorm BR,Investing,Purchase of Intangibles,46821.66,1.038,48600.88
2020-10-01,SummonStorm BR,Financing,Equity Issuance,38285.46,1.2456,47688.37
2020-10-01,SummonStorm BR,Financing,Loan Repayment,20796.07,0.8054,16749.15
2020-11-01,Tapstorm SG,Operating,Net Income,-14772.67,1.2619,-18641.63
2020-11-01,Tapstorm SG,Operating,Depreciation,-2004.04,1.0198,-2043.72
2020-11-01,Tapstorm SG,Operating,Change in Working Capital,-30404.24,1.2315,-37442.82
2020-11-01,Tapstorm SG,Investing,CapEx,39759.12,0.9007,35811.04
2020-11-01,Tapstorm SG,Investing,Purchase of Intangibles,40216.93,0.8708,35020.9
2020-11-01,Tapstorm SG,Financing,Equity Issuance,-20157.15,1.1549,-23279.49
2020-11-01,Tapstorm SG,Financing,Loan Repayment,40010.3,1.29,51613.29
2020-11-01,TapForge CN,Operating,Net Income,-40247.16,1.2819,-51592.83
2020-11-01,TapForge CN,Operating,Depreciation,-36591.41,0.8517,-31164.9
2020-11-01,TapForge CN,Operating,Change in Working Capital,-25629.91,1.0528,-26983.17
2020-11-01,TapForge CN,Investing,CapEx,24456.66,1.1752,28741.47
2020-11-01,TapForge CN,Investing,Purchase of Intangibles,31420.43,1.0648,33456.47
2020-11-01,TapForge CN,Financing,Equity Issuance,-33187.36,0.9716,-32244.84
2020-11-01,TapForge CN,Financing,Loan Repayment,19305.18,0.9897,19106.34
2020-11-01,WhaleCare PH,Operating,Net Income,-20658.26,0.9766,-20174.86
2020-11-01,WhaleCare PH,Operating,Depreciation,28228.05,1.233,34805.19
2020-11-01,WhaleCare PH,Operating,Change in Working Capital,-17577.51,1.0654,-18727.08
2020-11-01,WhaleCare PH,Investing,CapEx,-18899.72,1.0917,-20632.82
2020-11-01,WhaleCare PH,Investing,Purchase of Intangibles,3881.64,0.8412,3265.24
2020-11-01,WhaleCare PH,Financing,Equity Issuance,-12891.17,1.0202,-13151.57
2020-11-01,WhaleCare PH,Financing,Loan Repayment,33933.32,0.8627,29274.28
2020-11-01,SummonStorm BR,Operating,Net Income,37084.64,1.1304,41920.48
2020-11-01,SummonStorm BR,Operating,Depreciation,-24528.97,1.1995,-29422.5
2020-11-01,SummonStorm BR,Operating,Change in Working Capital,-34489.33,1.282,-44215.32
2020-11-01,SummonStorm BR,Investing,CapEx,1774.79,1.0137,1799.1
2020-11-01,SummonStorm BR,Investing,Purchase of Intangibles,-30136.75,1.0446,-31480.85
2020-11-01,SummonStorm BR,Financing,Equity Issuance,7489.28,1.007,7541.7
2020-11-01,SummonStorm BR,Financing,Loan Repayment,14920.69,1.2399,18500.16
2020-12-01,Tapstorm SG,Operating,Net Income,32790.92,1.0,32790.92
2020-12-01,Tapstorm SG,Operating,Depreciation,34829.16,1.1856,41293.45
2020-12-01,Tapstorm SG,Operating,Change in Working Capital,-2136.27,0.8865,-1893.8
2020-12-01,Tapstorm SG,Investing,CapEx,4990.5,1.0557,5268.47
2020-12-01,Tapstorm SG,Investing,Purchase of Intangibles,16949.75,1.1302,19156.61
2020-12-01,Tapstorm SG,Financing,Equity Issuance,3498.29,1.2256,4287.5
2020-12-01,Tapstorm SG,Financing,Loan Repayment,-20033.75,1.2321,-24683.58
2020-12-01,TapForge CN,Operating,Net Income,-35400.02,0.8104,-28688.18
2020-12-01,TapForge CN,Operating,Depreciation,6375.31,1.2223,7792.54
2020-12-01,TapForge CN,Operating,Change in Working Capital,-49152.42,0.8664,-42585.66
2020-12-01,TapForge CN,Investing,CapEx,21871.73,0.8203,17941.38
2020-12-01,TapForge CN,Investing,Purchase of Intangibles,29466.29,1.0545,31072.2
2020-12-01,TapForge CN,Financing,Equity Issuance,12660.17,0.835,10571.24
2020-12-01,TapForge CN,Financing,Loan Repayment,-37496.75,1.2776,-47905.85
2020-12-01,WhaleCare PH,Operating,Net Income,-27806.21,0.991,-27555.95
2020-12-01,WhaleCare PH,Operating,Depreciation,-28054.04,1.1411,-32012.47
2020-12-01,WhaleCare PH,Operating,Change in Working Capital,-29641.27,0.8356,-24768.25
